team,2012 picks,2013 picks,2014 picks,total picks
Hawks,2,4,2,8
Nets,1,1,0,2
Celtics,3,1,2,6
Hornets,2,1,3,6
Bulls,1,2,3,6
Cavaliers,4,4,2,10
Mavericks,2,2,0,4
Nuggets,3,1,3,7
Pistons,3,3,1,7
Warriors,4,0,0,4
Rockets,3,1,2,6
Pacers,1,2,1,4
Clippers,1,1,1,3
Lakers,1,1,1,3
Grizzlies,1,3,1,5
Heat,1,0,2,3
Bucks,2,2,4,8
Timberwolves,1,4,4,9
Pelicans,3,1,0,4
Knicks,1,1,2,4
Thunder,1,3,2,6
Magic,2,2,2,6
76ers,3,3,7,13
Suns,1,3,4,8
Trail Blazers,4,4,0,8
Kings,2,2,1,5
Spurs,1,2,3,6
Raptors,3,0,3,6
Jazz,1,3,3,7
Wizards,2,3,1,6
